title,tutor,cost,time,rating,url,image
Coding for Everyone: C and C++,"University of California, Santa Cruz",NIL,Approximately 6 months to complete,4.5,https://www.coursera.org/specializations/coding-for-everyone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/fe/163a0249a146fdab429b3908e28422/C4E-logo-spec.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Programming in C++: A Hands-on Introduction,Codio,NIL,Approximately 4 months to complete,4.6,https://www.coursera.org/specializations/hands-on-cpp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/10/a180da2c5d49298380057c0eec1480/Computer-Science_3-3x.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
ÐÑÐºÑÑÑÑÐ²Ð¾ ÑÐ°Ð·ÑÐ°Ð±Ð¾ÑÐºÐ¸ Ð½Ð° ÑÐ¾Ð²ÑÐµÐ¼ÐµÐ½Ð½Ð¾Ð¼ C++,Moscow Institute of Physics and Technology,NIL,Approximately 8 months to complete,4.9,https://www.coursera.org/specializations/c-plus-plus-modern-development,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/08/3c9f7091bc11e8b2164518e726ebdc/______.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,NIL,Approximately 3 months to complete,4.7,https://www.coursera.org/specializations/cs-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/1910be339d42288b8958d6f421d0c4/CS400_Logo_B_600.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
C++ Programming for Unreal Game Development,University of Colorado System,NIL,Approximately 4 months to complete,4.3,https://www.coursera.org/specializations/cplusplusunrealgamedevelopment,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/70/d28a28b3b24adc82008ce9acf33155/Specialization-Logo.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
ç¨åºè®¾è®¡ä¸ç®æ³,Peking University,NIL,Approximately 17 months to complete,4.8,https://www.coursera.org/specializations/biancheng-suanfa,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,NIL,Approx. 21 hours to complete,4.7,https://www.coursera.org/learn/cs-fundamentals-1,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Ð¡/C++ for competitive programming,Moscow Institute of Physics and Technology,NIL,Approx. 105 hours to complete,2.4,https://www.coursera.org/learn/c-for-competitive-programming,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Introductory C Programming,Duke University,NIL,Approximately 5 months to complete,4.6,https://www.coursera.org/specializations/c-programming,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
"C++ For C Programmers, Part A","University of California, Santa Cruz",NIL,Approx. 13 hours to complete,4.4,https://www.coursera.org/learn/c-plus-plus-a,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
