title,tutor,cost,time,rating,url,image
Applied Data Science with Python Specialization,University of Michigan,NIL,Approximately 5 months to complete,4.5stars,https://www.coursera.org/specializations/data-science-python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/xdp/umich.svg?auto=format%2Ccompress&dpr=1&h=70
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,NIL,Approx. 18 hours to complete,4.5stars,https://www.coursera.org/learn/crash-course-in-causality,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/xdp/upenn.svg?auto=format%2Ccompress&dpr=1&h=70
Data Science Specialization,Johns Hopkins University,NIL,Approximately 11 months to complete,4.8stars,https://www.coursera.org/specializations/jhu-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/xdp/jhu_v3.svg?auto=format%2Ccompress&dpr=1&h=50
Inferential Statistics,Duke University,NIL,Approx. 17 hours to complete,4.8stars,https://www.coursera.org/learn/inferential-statistics-intro,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/xdp/partnerLogos/svg/duke.svg?auto=format%2Ccompress&dpr=1&h=70
Linear Regression for Business Statistics,Rice University,NIL,Approx. 28 hours to complete,4.7stars,https://www.coursera.org/learn/linear-regression-business-statistics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/be/caaa1e07d24c1f954d28af5384d3e6/Rice-White_250x50.png?auto=format%2Ccompress&dpr=1&h=70
Basic Statistics,University of Amsterdam,NIL,Approx. 27 hours to complete,4.7stars,https://www.coursera.org/learn/basic-statistics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/xdp/partnerLogos/svg/amsterdam.svg?auto=format%2Ccompress&dpr=1&h=70
Business Applications of Hypothesis Testing and Confidence Interval Estimation ,Rice University,NIL,Approx. 25 hours to complete,4.8stars,https://www.coursera.org/learn/hypothesis-testing-confidence-intervals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/be/caaa1e07d24c1f954d28af5384d3e6/Rice-White_250x50.png?auto=format%2Ccompress&dpr=1&h=70
Quantitative Methods,University of Amsterdam,NIL,Approx. 30 hours to complete,4.5stars,https://www.coursera.org/learn/quantitative-methods,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/xdp/partnerLogos/svg/amsterdam.svg?auto=format%2Ccompress&dpr=1&h=70
Introduction to Probability and Data with R,Duke University,NIL,Approx. 14 hours to complete,4.6stars,https://www.coursera.org/learn/probability-intro,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/xdp/partnerLogos/svg/duke.svg?auto=format%2Ccompress&dpr=1&h=70
"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",Rice University,NIL,Approx. 21 hours to complete,4.6stars,https://www.coursera.org/learn/descriptive-statistics-statistical-distributions-business-application,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/be/caaa1e07d24c1f954d28af5384d3e6/Rice-White_250x50.png?auto=format%2Ccompress&dpr=1&h=70
Experimentation for Improvement,McMaster University,NIL,Approx. 13 hours to complete,4.5stars,https://www.coursera.org/learn/experimentation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/xdp/partnerLogos/svg/mcmaster.svg?auto=format%2Ccompress&dpr=1&h=70
