title,tutor,cost,time,rating,url,image
Java Programming and Software Engineering Fundamentals,Duke University,NIL,Approximately 5 months to complete,4.6,https://www.coursera.org/specializations/java-programming,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/Duke_JavaProgrammingIntrotoSoftware_CM195522.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Object Oriented Programming in Java,University of California San Diego,NIL,Approximately 5 months to complete,4.6,https://www.coursera.org/specializations/object-oriented-programming,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f2/9b76f090b311e7ab563db169a953fb/programming-1896158_1280.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Core Java,LearnQuest,NIL,Approximately 5 months to complete,4.6,https://www.coursera.org/specializations/core-java,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/03/d249a30ce84b50a94ed728933a78b9/JavaCupLogo800x800.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,NIL,Approximately 7 months to complete,4.7,https://www.coursera.org/specializations/java-object-oriented,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/UCSD_JavaProgrammingOODDS_Getty483605575.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Introduction to Programming with Python and Java,University of Pennsylvania,NIL,Approximately 4 months to complete,4.3,https://www.coursera.org/specializations/programming-python-java,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/87/4baf437c6840719574408b962297cf/Specialization-python-java_1200x1200.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Introduction to Java,LearnQuest,NIL,Approx. 12 hours to complete,4.6,https://www.coursera.org/learn/java-introduction,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Introduction to Java and Object-Oriented Programming,University of Pennsylvania,NIL,Approx. 17 hours to complete,4.3,https://www.coursera.org/learn/java-object-oriented-programming,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Web Development with Java Spring Framework,Peter the Great St. Petersburg Polytechnic University,NIL,Approx. 19 hours to complete,3.7,https://www.coursera.org/learn/web-development-with-java-spring-framework,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
"Algorithms, Part I",Princeton University,NIL,Approx. 54 hours to complete,4.9,https://www.coursera.org/learn/algorithms-part1,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,NIL,Approximately 3 months to complete,4.6,https://www.coursera.org/specializations/pcdp,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
