title,tutor,cost,time,rating,url,image
Learning Linux for LFCA Certification,LearnQuest,NIL,Approximately 4 months to complete,4.5,https://www.coursera.org/specializations/linux-for-lfca-certification,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/90/932fe45a40477ab5880f8abf6e4e93/LFCA.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
"Open Source Software Development, Linux and Git",The Linux Foundation,NIL,Approximately 4 months to complete,4.5,https://www.coursera.org/specializations/oss-development-linux-git,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/93/ab9a20c81711e8888807689cc8fd41/Introduction-to-Open-Source-Software-Development_-Git-and-Linux.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Linux Fundamentals,LearnQuest,NIL,Approx. 18 hours to complete,4.6,https://www.coursera.org/learn/linux-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a4/54f3b90a5d4aa29c1d838fa815dbf6/LFCA.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Hands-on Introduction to Linux Commands and Shell Scripting,IBM,NIL,Approx. 4 hours to complete,4.8,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/dc/5b27de1c32465ab5f1bc2782a2d3a1/Linux-Commands.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Google IT Support,Google,NIL,Approximately 6 months to complete,4.8,https://www.coursera.org/professional-certificates/google-it-support,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/b2d530f1ad11e7ab380fc0c6c817a8/Search-Thumbnail.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Fundamentals of Red Hat Enterprise Linux,Red Hat,NIL,Approx. 21 hours to complete,4.8,https://www.coursera.org/learn/fundamentals-of-red-hat-enterprise-linux,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Command Line in Linux,Coursera Project Network,NIL,NIL,4.5,https://www.coursera.org/projects/command-line-linux,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Linux and Private Cloud Administration on IBM Power Systems,IBM,NIL,Approximately 4 months to complete,4.8,https://www.coursera.org/specializations/linux-private-cloud-administration-power-systems,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Linux Server Management and Security,University of Colorado System,NIL,Approx. 13 hours to complete,4.6,https://www.coursera.org/learn/linux-server-management-security,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Google IT Automation with Python,Google,NIL,Approximately 8 months to complete,4.7,https://www.coursera.org/professional-certificates/google-it-automation,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Linux: Introduction to Shell Scripting for DevOps,Coursera Project Network,NIL,NIL,4.6,https://www.coursera.org/projects/intro-shell-bash-scripting-devops,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Linux: SSH to remote server & Networking basics for DevOps,Coursera Project Network,NIL,2 hours,4.3,https://www.coursera.org/projects/linux-ssh-to-remote-server--networking-basics-for-devops,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
The Unix Workbench,Johns Hopkins University,NIL,Approx. 19 hours to complete,4.7,https://www.coursera.org/learn/unix,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Getting Started with Linux Terminal,Coursera Project Network,NIL,NIL,4.6,https://www.coursera.org/projects/getting-started-with-linux-terminal,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud,NIL,Approximately 5 months to complete,4.6,https://www.coursera.org/professional-certificates/gcp-data-engineering,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
