title,tutor,cost,time,rating,url,image
Getting Started with Power BI Desktop,Coursera Project Network,NIL,NIL,4.7,https://www.coursera.org/projects/power-bi-desktop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/df/9bd6cc81554fa385758881f11c8c75/9.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Google Data Analytics,Google,NIL,Approximately 6 months to complete,4.8,https://www.coursera.org/professional-certificates/google-data-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ba/e14875b76f4e799e067d3551076e8c/1200x600_DA.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Excel Skills for Data Analytics and Visualization,Macquarie University,NIL,Approximately 4 months to complete,4.8,https://www.coursera.org/specializations/excel-data-analytics-visualization,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2e/2e31ccd0c14cc4af715fd98eeb8f0c/ICON-02.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
PowerBI Report Development Crash Course,Coursera Project Network,NIL,2 hours,4.5,https://www.coursera.org/projects/powerbi-report-development-crash-course-wdnos,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c7/6103bbbf154b988010b1695b8eddc6/logo.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Build Dashboards in Power BI,Coursera Project Network,NIL,NIL,4.1,https://www.coursera.org/projects/build-dashboards-power-bi,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ae/e97e7e6afb4c64a500f5cf8693613e/Power-BI-Dashboard-Logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Curso Completo de Power BI Desktop,Coursera Project Network,NIL,NIL,4.4,https://www.coursera.org/projects/curso-completo-power-bi,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
IBM Data Analyst,IBM,NIL,Approximately 11 months to complete,4.6,https://www.coursera.org/professional-certificates/ibm-data-analyst,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
ÐÐ½Ð°Ð»Ð¸Ð· Ð¸ Ð¾Ð±ÑÐ°Ð±Ð¾ÑÐºÐ° Ð´Ð°Ð½Ð½ÑÑ Ð² Microsoft Power BI,Moscow Institute of Physics and Technology,NIL,Approx. 10 hours to complete,4.5,https://www.coursera.org/learn/microsoft-power-bi,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Advanced Business Analytics,University of Colorado Boulder,NIL,Approximately 5 months to complete,4.6,https://www.coursera.org/specializations/data-analytics-business,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Data Visualization with Tableau,"University of California, Davis",NIL,Approximately 6 months to complete,4.5,https://www.coursera.org/specializations/data-visualization,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
