title,tutor,cost,time,rating,url,image
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,NIL,Approximately 6 months to complete,4.7,https://www.coursera.org/specializations/web-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/webdesign.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,NIL,Approx. 40 hours to complete,4.7,https://www.coursera.org/learn/html-css-javascript-for-web-developers,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/83/e258e0532611e5a5072321239ff4d4/jhep-coursera-course4.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,NIL,Approximately 3 months to complete,4.7,https://www.coursera.org/specializations/full-stack-react,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/cab7f07dd411e8991ff71ead974a6c/Slide1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Introduction to Web Development,"University of California, Davis",NIL,Approx. 22 hours to complete,4.7,https://www.coursera.org/learn/web-development,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ff/4584404c7511e7a18adb2a6ad3c009/GettyImages-185239648.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
IBM Full Stack Cloud Developer,IBM,NIL,Approximately 13 months to complete,4.6,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/18/2aa16c328a457cb910aa933bf2cd87/Professional-Certificate-Cloud-App.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Responsive Website Development and Design,University of London,NIL,Approximately 7 months to complete,4.5,https://www.coursera.org/specializations/website-development,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Google UX Design,Google,NIL,Approximately 6 months to complete,4.8,https://www.coursera.org/professional-certificates/google-ux-design,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Build a Full Website using WordPress,Coursera Project Network,NIL,2 hours,4.5,https://www.coursera.org/projects/build-a-full-website-using-wordpress,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Bachelor of Science in Computer Science,University of London,NIL,NIL,4.6,https://www.coursera.org/degrees/bachelor-of-science-computer-science-london,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
IBM Data Science,IBM,NIL,Approximately 11 months to complete,4.7,https://www.coursera.org/professional-certificates/ibm-data-science,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
