title,tutor,cost,time,url,image
Cyber Security Operations (Cisco),The Open University,$859,12 weeks,https://www.futurelearn.com/microcredentials/cybersecurity-operations,https://ugc.futurelearn.com/uploads/images/2f/78/header_small_2f78b407-1fa5-4326-afdb-b41d13266416.jpg
Cyber Security Foundations: Start Building Your Career in Cyber Defense,EC-Council,$39/month,15 weeks,https://www.futurelearn.com/experttracks/cybersecurity-foundations,https://ugc.futurelearn.com/uploads/images/10/6a/header_small_106a384b-dfac-4900-b1f6-318dbf8d2553.jpg
Digital Security Training: Cyber Threats and Risk Management,Coventry University,$39/month,10 weeks,https://www.futurelearn.com/experttracks/digital-security-training,https://ugc.futurelearn.com/uploads/images/07/be/header_small_07bef08a-ac14-4401-8fca-0e17b2de82dd.jpg
Information Security Design and Development,Coventry University,$39/month,10 weeks,https://www.futurelearn.com/experttracks/information-security-systems,https://ugc.futurelearn.com/uploads/images/40/a7/header_small_40a7f708-531b-4af0-82c9-deb7c0fd7a57.jpg
IT Ethics: Professionalism and Ethics in Computing,Charles Sturt University,$23.33/month,3 weeks,https://www.futurelearn.com/courses/information-technology-ethics,https://ugc.futurelearn.com/uploads/images/e2/f0/thumbnail_e2f006f9-15ba-4a29-9c09-521c9f5e5cbd.jpg
Introduction to Cybersecurity for Teachers,Raspberry Pi Foundation & National Centre for Computing Education,$23.33/month,3 weeks,https://www.futurelearn.com/courses/teaching-cybersecurity,https://ugc.futurelearn.com/uploads/images/c9/8e/thumbnail_c98ec5e3-7d64-4e34-85c9-51c442a354d4.jpg
"Decentralised Finance: Blockchain, Ethereum, and The Future of Banking",RMIT University,$23.33/month,4 weeks,https://www.futurelearn.com/courses/defi-exploring-decentralised-finance-with-blockchain-technologies,https://ugc.futurelearn.com/uploads/images/e7/b8/thumbnail_e7b8fd7b-a52b-4bef-b54d-4fb85d703d37.jpg
Ethical Hacking: An Introduction,Coventry University & Institute of Coding,$23.33/month,2 weeks,https://www.futurelearn.com/courses/ethical-hacking-an-introduction,https://ugc.futurelearn.com/uploads/images/d1/49/thumbnail_d149bae6-59c8-4136-b4a4-093b71851e24.jpg
The Cyber Security Landscape,Coventry University,$23.33/month,2 weeks,https://www.futurelearn.com/courses/cyber-security-landscape,https://ugc.futurelearn.com/uploads/images/ee/46/thumbnail_ee4678db-af9b-4198-af8e-0a2664c7dcc1.jpg
Introduction to Cyber Security,The Open University,$23.33/month,8 weeks,https://www.futurelearn.com/courses/introduction-to-cyber-security,https://ugc.futurelearn.com/uploads/images/36/d6/thumbnail_36d68953-a00a-4f96-8016-7dc8607c7771.jpg
Advanced Cyber Security Training: Hands-On Password Attacks,EC-Council,$39/month,2 weeks,https://www.futurelearn.com/courses/hands-on-password-attacks-and-security,https://ugc.futurelearn.com/uploads/images/56/82/thumbnail_5682e161-e874-4b3d-9013-3713991c9cbe.jpg
Advanced Cyber Security Training: Network Security,EC-Council,$39/month,4 weeks,https://www.futurelearn.com/courses/securing-your-network-from-attacks,https://ugc.futurelearn.com/uploads/images/9a/a3/thumbnail_9aa39a81-66eb-43c5-8c4d-47372a0af32a.jpg
Cyber Security Operations (Cisco),The Open University endorsed by Cisco Networking Academy,$859,12 weeks,https://www.futurelearn.com/microcredentials/cybersecurity-operations,https://ugc.futurelearn.com/uploads/images/8d/58/header_small_8d58db00-8aa6-44ed-981f-4938af9ace1c.jpg
Master of Business Administration (Cyber Security Management),Coventry University,NIL,NIL,https://www.futurelearn.com/degrees/coventry/mba-cyber-security,https://ugc.futurelearn.com/uploads/images/15/79/thumbnail_1579aec5-119e-48a9-8d01-a3a795cef3f4.jpg
MSc Cyber Security,Coventry University & Institute of Coding,NIL,NIL,https://www.futurelearn.com/degrees/coventry/msc-cyber-security,https://ugc.futurelearn.com/uploads/images/cd/9c/thumbnail_cd9c1971-ab77-4169-8841-880be48a6acd.jpg
