title,tutor,cost,time,url,image
Data Analytics Using Python,FutureLearn in collaboration with GitHub,$39/month,12 weeks,https://www.futurelearn.com/experttracks/data-analytics-using-python,https://ugc.futurelearn.com/uploads/images/e7/52/header_small_e7529d07-d965-4f7b-9b40-88b46cad4977.jpg
Data Science on Microsoft Azure Using Python Programming,"CloudSwyft Global Systems, Inc. accredited by Microsoft",$39/month,15 weeks,https://www.futurelearn.com/experttracks/data-science-microsoft-azure-python-programming,https://ugc.futurelearn.com/uploads/images/74/01/header_small_740189bb-62fa-42a8-8a1b-7584a68a4bc2.jpg
Data Visualisation with Python,FutureLearn in collaboration with Tableau,$39/month,12 weeks,https://www.futurelearn.com/experttracks/data-visualisation-with-python,https://ugc.futurelearn.com/uploads/images/4a/1f/header_small_4a1f8689-50a2-4bea-aad3-70739b4f75fc.jpg
Teaching Physical Computing with Raspberry Pi and Python,Raspberry Pi Foundation & National Centre for Computing Education,$23.33 $15.83/month,3 weeks,https://www.futurelearn.com/courses/physical-computing-raspberry-pi-python,https://ugc.futurelearn.com/uploads/images/cf/85/thumbnail_cf85653d-5ea7-45ce-b8bb-ce1307cc9ad6.jpg
The Power of Object-Oriented Programming,University of Michigan,$23.33 $15.83/month,4 weeks,https://www.futurelearn.com/courses/the-power-of-object-oriented-programming,https://ugc.futurelearn.com/uploads/images/30/14/thumbnail_30147981-4036-4d7c-ab19-624461dcc5d6.jpg
Object-oriented Programming in Python: Create Your Own Adventure Game,Raspberry Pi Foundation & National Centre for Computing Education,$23.33 $15.83/month,4 weeks,https://www.futurelearn.com/courses/object-oriented-principles,https://ugc.futurelearn.com/uploads/images/4c/b1/thumbnail_4cb1c93f-cf66-4158-bb2f-87aefdad8dea.jpg
Networking with Python: Socket Programming for Communication,Raspberry Pi Foundation & National Centre for Computing Education,$23.33 $15.83/month,3 weeks,https://www.futurelearn.com/courses/networking-with-python-socket-programming-for-communication,https://ugc.futurelearn.com/uploads/images/08/60/thumbnail_08606a48-990e-4792-b0d6-873e2c3b124b.jpg
Scratch to Python: Moving from Block- to Text-based Programming,Raspberry Pi Foundation & National Centre for Computing Education,$23.33 $15.83/month,4 weeks,https://www.futurelearn.com/courses/block-to-text-based-programming,https://ugc.futurelearn.com/uploads/images/da/de/thumbnail_dade0a32-926a-4b48-91a3-ebcba5c348c4.jpg
Programming 101: An Introduction to Python for Educators,Raspberry Pi Foundation & National Centre for Computing Education,$23.33 $15.83/month,4 weeks,https://www.futurelearn.com/courses/programming-101,https://ugc.futurelearn.com/uploads/images/8d/13/thumbnail_8d1353eb-10b3-4e9b-b0a3-1ef9e1045572.jpg
Data Analytics and Python Fundamentals,FutureLearn,$39/month,4 weeks,https://www.futurelearn.com/courses/data-analytics-python-statistics-and-analytics-fundamentals,https://ugc.futurelearn.com/uploads/images/16/30/thumbnail_1630fcd2-e987-469b-b81a-6e9eb2239161.jpg
Data Wrangling and Ingestion using Python,FutureLearn,$39/month,4 weeks,https://www.futurelearn.com/courses/data-analytics-python-data-wrangling-and-ingestion,https://ugc.futurelearn.com/uploads/images/2c/dc/thumbnail_2cdc1eb5-77bc-42e5-856c-d56ce443be75.jpg
Cisco: Python Programming (OpenEDG) ,The Open University endorsed by Cisco Networking Academy,$714,10 weeks,https://www.futurelearn.com/microcredentials/cisco-python-programming,https://ugc.futurelearn.com/uploads/images/2a/cc/header_small_2acc2171-48d0-4c02-8c19-8bbd1b1571e8.jpg
