title,tutor,cost,time,url,image
Programming Applications with Python,FutureLearn in collaboration with GitHub,$39/month,12 weeks,https://www.futurelearn.com/experttracks/programming-applications-with-python,https://ugc.futurelearn.com/uploads/images/cc/e6/header_small_cce6bec8-3597-4eb2-be49-29befd0c3c97.jpg
Programming Essentials with Python,FutureLearn in collaboration with GitHub,$39/month,12 weeks,https://www.futurelearn.com/experttracks/programming-essentials-with-python,https://ugc.futurelearn.com/uploads/images/c2/62/header_small_c262c6d8-06aa-460c-827d-51437a76bbfb.jpg
Introduction to Web Development,Raspberry Pi Foundation & National Centre for Computing Education,$23.33 $15.83/month,3 weeks,https://www.futurelearn.com/courses/introduction-to-web-development,https://ugc.futurelearn.com/uploads/images/00/a9/thumbnail_00a9559c-83c3-487d-bf96-c0732521ee2c.jpg
"Using JavaScript, jQuery, and JSON in Django",University of Michigan,$23.33 $15.83/month,5 weeks,https://www.futurelearn.com/courses/using-javascript-jquery-and-json-in-django,https://ugc.futurelearn.com/uploads/images/09/1b/thumbnail_091b7cd1-592b-4ce1-afe4-8ce581529d1f.jpg
Programming Applications with Python: Libraries and Web Scraping,FutureLearn,$39/month,4 weeks,https://www.futurelearn.com/courses/programming-applications-with-python-libraries-and-web-scraping,https://ugc.futurelearn.com/uploads/images/84/a8/thumbnail_84a86ee7-2a8e-41f5-be1a-e7c5afebbcd7.jpg
Programming Applications with Python: Working with Files,FutureLearn,$39/month,4 weeks,https://www.futurelearn.com/courses/programming-applications-with-python-working-with-files,https://ugc.futurelearn.com/uploads/images/34/18/thumbnail_3418e3b4-21bb-45a3-8d5b-fb2c78d65ed2.jpg
Django Features and Libraries,University of Michigan,$23.33 $15.83/month,6 weeks,https://www.futurelearn.com/courses/django-features-and-libraries,https://ugc.futurelearn.com/uploads/images/c7/c1/thumbnail_c7c18025-8fb1-4e41-9cf8-5f99c6dab706.jpg
Software Development Fundamentals: Programming Languages and HTML,FutureLearn,$39/month,4 weeks,https://www.futurelearn.com/courses/software-development-fundamentals-programming-languages-html,https://ugc.futurelearn.com/uploads/images/e9/bc/thumbnail_e9bc1464-74f4-4411-9f68-bb26dbad00b5.jpg
Building Web Applications in Django,University of Michigan,$23.33 $15.83/month,4 weeks,https://www.futurelearn.com/courses/building-web-applications-in-django,https://ugc.futurelearn.com/uploads/images/2a/03/thumbnail_2a0361ca-feb0-4bcf-8a37-319bea86cf5e.jpg
Web Application Technologies and Django,University of Michigan,$23.33 $15.83/month,5 weeks,https://www.futurelearn.com/courses/web-application-technologies-and-django,https://ugc.futurelearn.com/uploads/images/61/36/thumbnail_61369dec-bb05-4fe1-9a2b-842b247e4e56.jpg
