title,channel-name,link,photo
b'Python for Beginners (Full Course) | Programming Tutorial',b'Telusko',https://www.youtube.com/watch?v=QXeEoD0pB3E&list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,https://i.ytimg.com/vi/QXeEoD0pB3E/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDFfxTTv31qjpdalu6WVYgDswHgcg
b'Python Tutorials For Absolute Beginners In Hindi',b'CodeWithHarry',https://www.youtube.com/watch?v=aqvDTCpNRek&list=PLu0W_9lII9agICnT8t4iYVSZ3eykIAOME,https://i.ytimg.com/vi/aqvDTCpNRek/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCYiFWXwy4qkCIt-NsN4UET59Bobg
b'Complete Python tutorial in Hindi',b'codeitup',https://www.youtube.com/watch?v=AkffMtK5oHs&list=PLmRclvVt5DtmcLF3ywxKg692lhfD6SUOr,https://i.ytimg.com/vi/AkffMtK5oHs/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAMVqp_s6IeKd2sjmGDjy00cX4yGA
b'Complete Python tutorial in Hindi (2020)',b'Harshit vashisth',https://www.youtube.com/watch?v=RAwntanK4wQ&list=PLwgFb6VsUj_lQTpQKDtLXKXElQychT_2j,
b'python programming | python tutorial |python full course |python for beginners | computer teacher python class | python class 12',b'Anvira Education',https://www.youtube.com/watch?v=cHCo9C0V2-4&list=PLnNL_NGOqbMWM8a12KBckrGpJ-PbT-8IA,
b'Complete Python Tutorial for Beginners to Advanced in Hindi - 2022 \xf0\x9f\x94\xa5',b'WsCube Tech',https://www.youtube.com/watch?v=OZIRAavoGng&list=PLjVLYmrlmjGcQfNj_SLlLV4Ytf39f8BF7,
b'Python for Class 12',b'Apni Kaksha',https://www.youtube.com/watch?v=f2PMfGfBOPo&list=PLKKfKV1b9e8r_GAb4BQNc2ZSh6S7NwK9W,
b'Core Python (Hindi)',b'Geeky Shows',https://www.youtube.com/watch?v=URfNAAuZ52w&list=PLbGui_ZYuhigZkqrHbI_ZkPBrIr5Rsd5L,
b'Python Tutorial for Beginners | by Mr. Srinivas',b'Naresh i Technologies',https://www.youtube.com/watch?v=IoGRq8ocwRY&list=PLVlQHNRLflP8MDJbh-iiRiRjdq917w93g,
b'Python Online Training',b'Tutorials Point (India) Ltd.',https://www.youtube.com/watch?v=XCiJj7_8hhs&list=PLWPirh4EWFpHYP2n7zUlquPVnGPi5aID7,
b'Python Tutorials',b'Corey Schafer',https://www.youtube.com/watch?v=YYXdXT2l-Gg&list=PL-osiE80TeTt2d9bfVyTiXJA-UTHn6WwU,
b'Python for Beginners',b'Programiz',https://www.youtube.com/watch?v=B7G5B8P8k9s&list=PL98qAXLA6afuh50qD2MdAj3ofYjZR_Phn,
b'6.0001 Introduction to Computer Science and Programming in Python. Fall 2016',b'MIT OpenCourseWare',https://www.youtube.com/watch?v=nykOeWgQcHM&list=PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,
b'Python_ka_chilla (python in 40 days in urdu/Hindi)',b'Codanics',https://www.youtube.com/watch?v=QvPekMN4F0w&list=PL9XvIvvVL50HVsu-Ao8NBr0UJSO8O6lBI,
b'Python Tutorial for Beginners Guide | Mr. Srinivas',b'Naresh i Technologies',https://www.youtube.com/watch?v=9TUCCZzRLo4&list=PLVlQHNRLflP8fA96v_pQjUPNTeAjlnpLN,
